,humidavg,tempavg,con
0,45,24,174.62294539156784
1,45,26,252.82381110572467
2,47,25,217.97853711876468
3,51,24,221.24879693177658
4,52,24,190.0187233850804
5,56,23,180.380774530121
6,61,24,168.3129228931968
7,51,24,109.41004751439894
8,44,23,273.7638943077754
9,38,26,123.78116541224551
10,40,25,185.41400763837498
11,43,26,177.82541951963955
12,53,24,172.6999322569937
