,temperature(C),humidity(%),consumption(kWh)
temperature(C),1.0,-0.8778662203668492,0.1839327334195813
humidity(%),-0.8778662203668492,1.0,-0.20410610901313544
consumption(kWh),0.1839327334195813,-0.20410610901313544,1.0
