,temperature(C),humidity(%),consumption(kWh)
temperature(C),1.0,-0.46354609904410254,-0.1753450436477736
humidity(%),-0.46354609904410254,1.0,-0.05840543346047396
consumption(kWh),-0.1753450436477736,-0.05840543346047396,1.0
