,temperature(C),humidity(%),consumption(kWh)
temperature(C),1.0,-0.045799300654919654,0.30694540096721323
humidity(%),-0.045799300654919654,1.0,-0.12096669294148575
consumption(kWh),0.30694540096721323,-0.12096669294148575,1.0
