,temperature(C),humidity(%),consumption(kWh)
temperature(C),1.0,-0.9036045529930223,-0.12471767906528937
humidity(%),-0.9036045529930223,1.0,0.09403332028664622
consumption(kWh),-0.12471767906528937,0.09403332028664622,1.0
