,temperature(C),humidity(%),consumption(kWh)
temperature(C),1.0,-0.7569600552640651,-0.5001560086982457
humidity(%),-0.7569600552640651,1.0,0.6089811539878673
consumption(kWh),-0.5001560086982457,0.6089811539878673,1.0
